Org8Codefy,LEANumCode,Org8Code,DistName,fy,eqv,income,cey,townfoundbudget,targetlocacont,mrgf,rlc,townenro,percenttargetcontributionofwealth
000500002018,5,00050000,Agawam,2018,"2,949,078,000.00","800,179,000.00","21,868,889.00","40,549,530.34","21,868,889.00",4.15%,"22,135,293.00","3,831.00",100%
000500002019,5,00050000,Agawam,2019,"2,949,078,000.00","813,211,000.00","22,474,431.00","41,326,070.00","22,474,431.00",3.32%,"22,474,431.00","3,773.00",100%
000500002020,5,00050000,Agawam,2020,"3,067,519,900.00","824,403,000.00","22,951,211.00","42,227,451.05","22,951,211.00",3.67%,"22,951,211.00","3,677.00",100%
000500002021,5,00050000,Agawam,2021,"3,067,519,900.00","850,720,000.00","23,314,375.00","42,427,489.50","23,314,375.00",1.33%,"23,256,462.00","3,623.00",100%
000500002022,5,00050000,Agawam,2022,"3,286,756,800.00","879,657,000.00","23,421,246.00","42,850,725.39","23,421,246.00",1.31%,"23,421,246.00","3,516.00",100%
000500002023,5,00050000,Agawam,2023,"3,286,756,800.00","893,064,000.00","25,522,240.00","46,476,254.92","25,522,240.00",4.67%,"24,515,018.00","3,420.00",100%
000500002024,5,00050000,Agawam,2024,"3,580,768,800.00","973,719,000.00","27,582,613.00","50,397,491.30","27,582,613.00",2.50%,"25,373,043.00","3,421.00",100%
000500002025,5,00050000,Agawam,2025,"3,580,768,800.00","1,013,311,000.00","28,487,486.00","52,988,778.25","28,487,486.00",5.03%,"26,903,037.00","3,486.00",100%
000500002026,5,00050000,Agawam,2026,"4,389,799,200.00","1,058,823,000.00","30,858,407.00","55,345,476.31","30,858,407.00",3.58%,"28,135,196.00","3,463.00",100%
000600002007,6,00060000,Alford,2007,"162,952,100.00","8,949,000.00","697,181.00","407,455.00","336,150.00",5.52%,"347,369.00",52,48%
000600002008,6,00060000,Alford,2008,"204,053,400.00","12,420,000.00","796,428.00","344,497.00","284,210.00",5.67%,"346,351.00",43,36%
000600002009,6,00060000,Alford,2009,"204,053,400.00","12,990,000.00","836,023.00","313,958.00","259,015.00",5.98%,"331,407.00",37,31%
000600002010,6,00060000,Alford,2010,"270,849,900.00","14,269,000.00","1,015,747.00","348,488.18","287,503.00",4.27%,"336,850.00",40,28%
000600002011,6,00060000,Alford,2011,"270,849,900.00","15,367,000.00","1,010,965.00","338,637.39","279,376.00",3.76%,"328,474.00",39,28%
000600002012,6,00060000,Alford,2012,"264,046,900.00","25,028,000.00","1,197,598.00","320,376.00","264,310.00",3.46%,"324,733.00",36,22%
000600002013,6,00060000,Alford,2013,"264,046,900.00","14,604,000.00","1,086,056.00","295,927.00","244,140.00",3.24%,"295,927.00",32,22%
000600002014,6,00060000,Alford,2014,"260,009,900.00","18,069,000.00","1,203,942.00","246,432.00","203,306.00",3.45%,"246,432.00",26,17%
